Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,0,,,,,,156,,,4
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,0,,,,0,,1256279,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,0,,,,0,,2029847,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,0,,,,0,,3137142,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,0,,,,0,,56645621,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,0,,,,0,,5923414,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,0,,,,0,,11140871,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,0,,,,0,,130776,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,0,,,,0,,19266591,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,0,,,,0,,14767858,,,4
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,0,,,,0,,16802594,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,0,,,,0,,30645292,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,0,,,,0,,16628641,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,0,,,,0,,646087,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,0,,,,0,,8966657,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,0,,,,0,,1231718,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,0,,,,0,,778912,,,0
H5,2018,2018,2018,2,0,1,Import,699,India,IND,156,China,CHN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,0,,,,0,,25302233,,,0
